id,producer_id,name,village,age,join_date,farm_size_hectares,num_trees,phone,farm_images,yield_history,estimated_yield,recent_activities,tree_health,soil_quality,last_active,user_name
1,1719641222,Kwame Baah,Sefwi Wiawso,42,2019-04-06,8.0,700,+233 24 1829510,[],"[{""year"": 2020, ""yield_kg"": 1860}, {""year"": 2021, ""yield_kg"": 2020}, {""year"": 2022, ""yield_kg"": 2100}]",2150,"[{""date"": ""2025-03-08"", ""activity"": ""Data imported from producer records""}]","{""healthy"": 82, ""minor_issues"": 12, ""needs_attention"": 6}","{""pH"": 6.5, ""nitrogen"": ""medium"", ""phosphorus"": ""high"", ""potassium"": ""low""}",2025-02-20,@yaoemile
2,1802010075,Kwame Kouassi,Abengourou,42,2020-04-11,7.2,675,+233 54 263 8166,[],"{""2020"": 800, ""2021"": 850, ""2022"": 800}",810,"[{""date"": ""2025-03-08"", ""activity"": ""Data imported from producer records""}]","{""healthy"": 70, ""minor_issues"": 20, ""needs_attention"": 10}","{""pH"": 6.5, ""nitrogen"": ""medium"", ""phosphorus"": ""high"", ""potassium"": ""medium""}",2025-02-20,Ousmane Coulibaly
3,1971583835,Kwame Asante,Abengourou,52,2019-05-23,8.0,800,+22598765432,[],"{""2020"": 1400, ""2021"": 1550, ""2022"": 1600}",1650,"[{""date"": ""2025-03-08"", ""activity"": ""Data imported from producer records""}]","{""healthy"": 70, ""minor_issues"": 20, ""needs_attention"": 10}","{""pH"": 6.4, ""nitrogen"": ""medium"", ""phosphorus"": ""high"", ""potassium"": ""medium""}",2025-02-20,@TuokaDa
4,5117801323,Kwame Asare,Subri,52,2018-04-12,8.0,680,+233267535431,[],"{""2020"": 432, ""2021"": 475, ""2022"": 507}",515,"[{""date"": ""2025-03-08"", ""activity"": ""Data imported from producer records""}]","{""healthy"": 72, ""minor_issues"": 25, ""needs_attention"": 3}","{""pH"": 6.3, ""nitrogen"": ""medium"", ""phosphorus"": ""low"", ""potassium"": ""high""}",2025-03-08,Unknown
5,5414211582,Kwame Nkrumah,Sefwi Wiawso,52,2019-07-12,7.0,680,+233 26 666 8888,[],"{""2020"": 375, ""2021"": 410, ""2022"": 425}",450,"[{""date"": ""2025-03-08"", ""activity"": ""Data imported from producer records""}]","{""healthy"": 80, ""minor_issues"": 15, ""needs_attention"": 5}","{""pH"": 6.2, ""nitrogen"": ""medium"", ""phosphorus"": ""medium"", ""potassium"": ""high""}",2025-03-08,Unknown
6,5564709136,Kwame Asante,Mfensi,43,2019-06-15,8.0,750,+233 24 123 4567,[],"{""2020"": 1500, ""2021"": 1750, ""2022"": 1450}",1550,"[{""date"": ""2025-03-08"", ""activity"": ""Data imported from producer records""}]","{""healthy"": 70, ""minor_issues"": 20, ""needs_attention"": 10}","{""pH"": 6.5, ""nitrogen"": ""medium"", ""phosphorus"": ""high"", ""potassium"": ""medium""}",2025-02-23,Diarrassouba Daouda
7,6250270020,Diaby Ali,Abengourou,47,2019-06-21,5.0,850,+225 53 27 63 91,[],"{""2020"": 1200, ""2021"": 1300, ""2022"": 1350}",1400,"[{""date"": ""2025-03-08"", ""activity"": ""Data imported from producer records""}]","{""healthy"": 72, ""minor_issues"": 20, ""needs_attention"": 8}","{""pH"": 6.5, ""nitrogen"": ""High"", ""phosphorus"": ""Medium"", ""potassium"": ""High""}",2025-03-07,Thiago ALCANTARA
8,6264149139,Sery Dekonty Mauricette Emmanuella,Abengourou,42,2019-03-21,8.5,800,+225 07 08 91 74 38,[],"{""2020"": 650, ""2021"": 700, ""2022"": 750}",800,"[{""date"": ""2025-03-08"", ""activity"": ""Data imported from producer records""}]","{""healthy"": 70, ""minor_issues"": 25, ""needs_attention"": 5}","{""pH"": 6.5, ""nitrogen"": ""medium"", ""phosphorus"": ""high"", ""potassium"": ""medium""}",2025-03-07,Mauricette Sery
9,6438781124,Amadou Touré,Daloa,45,2019-06-12,8.5,650,+225 07891234,[],"{""2020"": 1300, ""2021"": 1550, ""2022"": 1675}",1700,"[{""date"": ""2025-03-08"", ""activity"": ""Data imported from producer records""}]","{""healthy"": 70, ""minor_issues"": 20, ""needs_attention"": 10}","{""pH"": 6.5, ""nitrogen"": ""medium"", ""phosphorus"": ""high"", ""potassium"": ""low""}",2025-03-03,Unknown
10,6574267398,Kwame Adu,Ezema,42,2018-09-15,9.7,862,+233 20 938 3764,[],"{""2020"": 912, ""2021"": 1017, ""2022"": 1056}",1100,"[{""date"": ""2025-03-08"", ""activity"": ""Data imported from producer records""}]","{""healthy"": 70, ""minor_issues"": 20, ""needs_attention"": 10}","{""pH"": 6.3, ""nitrogen"": ""Medium"", ""phosphorus"": ""High"", ""potassium"": ""Medium""}",2025-03-03,Kan Richard Kouakou
11,6603015228,Kouassi Tano,Agboville,43,2019-04-30,10.0,900,+22524487532,[],"{""2020"": 712, ""2021"": 760, ""2022"": 771}",780,"[{""date"": ""2025-03-08"", ""activity"": ""Data imported from producer records""}]","{""healthy"": ""70%"", ""minor_issues"": ""20%"", ""needs_attention"": ""10%""}","{""pH"": 5.8, ""nitrogen"": ""medium"", ""phosphorus"": ""high"", ""potassium"": ""medium""}",2025-03-08,Unknown
12,6604338716,Kwame Appiah,Anyinamso,52,2019-04-12,10.0,800,+233 24 123 4567,[],"{""2020"": 1700, ""2021"": 1800, ""2022"": 1750}",1800,"[{""date"": ""2025-03-08"", ""activity"": ""Data imported from producer records""}]","{""healthy"": 70, ""minor_issues"": 20, ""needs_attention"": 10}","{""pH"": 6.2, ""nitrogen"": ""medium"", ""phosphorus"": ""low"", ""potassium"": ""high""}",2025-03-03,Unknown
13,6649556826,Monsieur Youboué,San Pedro,52,2018-07-15,7.0,780,+225 07 041 2310,[],"{""2020"": 750, ""2021"": 820, ""2022"": 900}",950,"[{""date"": ""2025-03-08"", ""activity"": ""Data imported from producer records""}]","{""healthy"": 60, ""minor_issues"": 35, ""needs_attention"": 5}","{""pH"": 6.5, ""nitrogen"": ""moderate"", ""phosphorus"": ""high"", ""potassium"": ""low""}",2025-03-05,Unknown
